reading_no;sample_measurement_id;sample_id;site_id;sweref_n;sweref_e;parish;patina;hue;color;material;artefact;type;note;texture;grain_size;layering;topography;homogeneity;inclusion;surface;max_width_mm;max_length_mm;max_height_mm;weight_g;area_mm;sample_size;Bal;Mg;Al;Si;P;S;Cl;K;Ca;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Pd;Ag;Cd;Sn;Sb;Ba;Hf;Ta;W;Re;Au;Hg;Ti;Pb;Bi;Th;U
625;6;6;Burtraesk 32;7149885;761582;Burtraesk;No;Light;Gray;Quartzite;Point fragment;Point fragment;;Fine-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Quartz;;15;16;5;1;240;Small;0.0182 ;;21.1261 ;66.6711 ;0.2679 ;0.2787 ;2.1264 ;8.5548 ;0.2860 ;0.0031 ;0.0114 ;0.1809 ;0.0120 ;0.0020 ;;;;;;;;;;;;;;;0.0059 ;0.0022 ;0.2166 ;;;;;;;0.2369 ;;;;
626;7;7;Burtraesk 181;7165076;783785;Burtraesk;Yes;Light;Opaque;Quartz;Point preform;Preform;;Massive;Massive;Non-foliated;Irregular;Yes;;;43;48;;;2064;Large;56.6811 ;;;43.0203 ;;;0.1189 ;0.0440 ;;0.0026 ;;;;;;;;;;;;;;;;;;;;;0.0130 ;;;;;;;0.0035 ;;;;
627;7;7;Burtraesk 181;7165076;783785;Burtraesk;Yes;Light;Opaque;Quartz;Point preform;Preform;;Massive;Massive;Non-foliated;Irregular;Yes;;;43;48;;;2064;Large;56.6811 ;;;43.0203 ;;;0.1189 ;0.0440 ;;0.0026 ;;;;;;;;;;;;;;;;;;;;;0.0130 ;;;;;;;0.0035 ;;;;
628;8;8;;7132482;784349;Bygdeaa;No;Dark;Gray;Quartzite;Point;Point;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;Silicon on one side;15;81;;;1215;Medium;58.8628 ;;0.3651 ;39.6596 ;0.0140 ;0.1131 ;0.2788 ;0.3534 ;0.0479 ;;0.0017 ;;0.0317 ;;;;;;;0.0020 ;0.0005 ;0.0004 ;0.0429 ;;;;;;0.0010 ;;0.0180 ;;;;;;;0.0350 ;;;0.0004 ;
629;9;9;;7144375;717871;Degerfors;No;Light;Opaque;Quartz;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;18;42;7;7;756;Medium;57.9039 ;;;41.7182 ;;;0.2717 ;0.0853 ;0.0029 ;;;;0.0042 ;;;;;;;;;;;;;;;;;;0.0100 ;;;;;;;0.0037 ;;;;
630;10;10;;7144375;717871;Degerfors;No;Light;Opaque;Quartzite;Arrow point;Point;;Medium-grained;Granoblastic;Non-foliated;Fine;No;Dark mineral grains;;18;23;6;3;414;Small;55.9783 ;;0.1131 ;43.1192 ;0.0133 ;0.0210 ;0.5432 ;0.1938 ;0.0072 ;;;;0.0036 ;;;;;;;0.0001 ;;;0.0018 ;;;;;;;;0.0029 ;;;;;;;0.0025 ;;;;
631;11;11;;7144375;717871;Degerfors;No;Light;Opaque;Quartzite;Point;Point;;Medium-grained;Granoblastic;Non-foliated;Smooth;Yes;;;12;25;4;2;300;Small;55.6610 ;0.4403 ;0.3407 ;42.9738 ;0.0364 ;0.0571 ;0.3287 ;0.1273 ;0.0105 ;;0.0059 ;;0.0110 ;;;;;;;;;;;;;0.0003 ;;;0.0005 ;;;;;;;;;0.0064 ;;;;
632;12;12;;7144375;717871;Degerfors;No;Light;Opaque;Breccie quartz;Point;Point;;Medium-grained;Granoblastic;Non-foliated;Conchoidal;No;Dark mineral grains;;23;30;6;7;690;Medium;53.2754 ;;0.3912 ;45.6996 ;0.0321 ;0.0938 ;0.1912 ;0.0895 ;0.0143 ;;0.0035 ;;0.0116 ;;;;;;;;;;0.0014 ;;;;;;;;0.0066 ;;;;;;;0.0075 ;;;;
633;13;13;;7144375;717871;Degerfors;No;White;White;Quartzite;Point;Point;;Fine-grained;Granoblastic;Non-foliated;Conchoidal;Yes;;;22;42;7;7;924;Medium;0.0194 ;1.7206 ;2.3156 ;90.1683 ;0.4642 ;0.7399 ;2.5733 ;1.3001 ;0.2403 ;;0.0150 ;0.1448 ;0.0172 ;0.0025 ;;;;;;;;;;;;;;;;;0.1365 ;;;;;;;0.1423 ;;;;
634;14a;14;Degerfors 318;7141879;717255;Degerfors;Yes;White;White;Quartzite;Point preform;Preform;Sample point on quartz surface;Coarse-grained;Porphyroblastic;Non-foliated;Conchoidal;No;Quartz;Quartz in other matrix;37;53;17;30;1961;Medium;61.4037 ;;4.8170 ;32.3578 ;0.1268 ;0.1409 ;0.4920 ;0.2571 ;0.2081 ;0.0005 ;0.0025 ;;0.0439 ;;;;;;;;0.0045 ;0.0019 ;0.0130 ;;;;;;0.0007 ;;0.0160 ;;;;;;;0.0647 ;;;0.0003 ;
